"stop_code","stop_name","address","routes","url"
"Q9 216","Trạm xe buýt [Q9 216] Bê tông Hải Âu, Quận 9","Bê tông Hải Âu Xa Lộ Hà Nội, Quận 9, Tp.Hồ Chí Minh","12, 30, 52, 55, 60, 104, 150","https://xebuyt.net/1026-be-tong-hai-au"
"Q11 037","Trạm xe buýt [Q11 037] Chợ Lãnh Binh Thăng, Quận 11","308-310 Lãnh Binh Thăng, Quận 11, Tp.Hồ Chí Minh","11, 23, 62","https://xebuyt.net/1027-cho-lanh-binh-thang"
"58","Trạm xe bus Đối diện cột mốc Km H3/12 - Quốc lộ 2","","58","https://xebuyt.net/1027-doi-dien-cot-moc-km-h3-12-quoc-lo-2"
"58","Trạm xe bus Đối diện cột mốc H7/10 - Quốc lộ 2","","58","https://xebuyt.net/1028-doi-dien-cot-moc-h7-10-quoc-lo-2"
"Q9 217","Trạm xe buýt [Q9 217] Ngã 4 Thủ Đức, Quận 9","712 Xa Lộ Hà Nội, Quận 9, Tp.Hồ Chí Minh","12, 30, 52, 55, 60, 104, 150","https://xebuyt.net/1028-nga-4-thu-duc"
"Q11 043","Trạm xe buýt [Q11 043] Bãi xe buýt Đầm Sen, Quận 11","40A Hòa Bình, Quận 11, Tp.Hồ Chí Minh","11, 15, 23, 38, 62, 69, 144","https://xebuyt.net/1029-bai-xe-buyt-dam-sen"
"105","Trạm xe bus Bảo tàng tổng hợp Tỉnh Hà Tây - Cầu Am (đường Vạn Phúc - Hà Đông)","","19, 22C, 57, 77, 89","https://xebuyt.net/103-bao-tang-tong-hop-tinh-ha-tay-cau-am-duong-van-phuc-ha-dong"
"Q11 003","Trạm xe buýt [Q11 003] Chợ Thiết, Quận 11","1114A-1116A Đường 3/2, Quận 11, Tp.Hồ Chí Minh","02, 14, 103","https://xebuyt.net/103-cho-thiet"
"56A","Trạm xe bus Đối diện cột mốc Km H6/8 - Quốc lộ 2","","56A, 56B, 56C, 58","https://xebuyt.net/1030-doi-dien-cot-moc-km-h6-8-quoc-lo-2"
"Q9 215","Trạm xe buýt [Q9 215] UBND quận 9, Quận 9","1B Xa Lộ Hà Nội, Quận 9, Tp.Hồ Chí Minh","12, 30, 52, 55, 60, 104, 150","https://xebuyt.net/1030-ubnd-quan-9"
"QTD 084","Trạm xe buýt [QTD 084] Đại học Sư Phạm Kỹ Thuật, Quận Thủ Đức","116/6 Lê Văn Chí, Quận Thủ Đức, Tp.Hồ Chí Minh","53, 89, 104","https://xebuyt.net/1031-dai-hoc-su-pham-ky-thuat"
"QTD 094","Trạm xe buýt [QTD 094] Ngã ba Lê Văn Chí, Quận Thủ Đức","225 Hoàng Diệu 2, Quận Thủ Đức, Tp.Hồ Chí Minh","104","https://xebuyt.net/1032-nga-ba-le-van-chi"
"QTD 085","Trạm xe buýt [QTD 085] Nhà máy nước Thủ Đức, Quận Thủ Đức","Nhà máy nước Thủ Đức Lê Văn Chí, Quận Thủ Đức, Tp.Hồ Chí Minh","89, 104","https://xebuyt.net/1033-nha-may-nuoc-thu-duc"
"QTD 095","Trạm xe buýt [QTD 095] Tô Vĩnh Diện, Quận Thủ Đức","151 Hoàng Diệu 2, Quận Thủ Đức, Tp.Hồ Chí Minh","104","https://xebuyt.net/1035-to-vinh-dien"
"QTD 226","Trạm xe buýt [QTD 226] Hoàng Diệu 2, Quận Thủ Đức","40 Đường số 7, Quận Thủ Đức, Tp.Hồ Chí Minh","104","https://xebuyt.net/1036-hoang-dieu-2"
"17","Trạm xe bus Bưu điện Phú Minh - Km 3 Quốc lộ 2","","17","https://xebuyt.net/1037-buu-dien-phu-minh-km-3-quoc-lo-2"
"QTD 103","Trạm xe buýt [QTD 103] Ngã ba Linh Trung đường số 6, Quận Thủ Đức","94A Đường số 6, Quận Thủ Đức, Tp.Hồ Chí Minh","104","https://xebuyt.net/1037-nga-ba-linh-trung-duong-so-6"
"QTD 104","Trạm xe buýt [QTD 104] Ngã ba đường 14, Quận Thủ Đức","62-64 Đường Số 6, Quận Thủ Đức, Tp.Hồ Chí Minh","104","https://xebuyt.net/1038-nga-ba-duong-14"
"QTD 105","Trạm xe buýt [QTD 105] Đường số 14, Quận Thủ Đức","18 Đường số 14, Quận Thủ Đức, Tp.Hồ Chí Minh","104","https://xebuyt.net/1039-duong-so-14"
"106","Trạm xe bus 15 Cầu Am (đường Vạn Phúc - Hà Đông)","","19, 22C, 57, 77, 89","https://xebuyt.net/104-15-cau-am-duong-van-phuc-ha-dong"
"Q11 005","Trạm xe buýt [Q11 005] Đội Giao Thông Phú Lâm, Quận 11","1274 Đường 3/2, Quận 11, Tp.Hồ Chí Minh","02, 14","https://xebuyt.net/104-doi-giao-thong-phu-lam"
"QTD 171","Trạm xe buýt [QTD 171] ĐH Kinh tế Luật, Quận Thủ Đức","Đối diện 665 Quốc lộ 1, Quận Thủ Đức, Tp.Hồ Chí Minh","19, 33, 50, 93, 104","https://xebuyt.net/1040-dh-kinh-te-luat"
"QTD 172","Trạm xe buýt [QTD 172] Công ty điện tử Samsung, Quận Thủ Đức","Công ty điện tử Samsung Quốc lộ 1, Quận Thủ Đức, Tp.Hồ Chí Minh","19, 33, 50, 93, 104","https://xebuyt.net/1041-cong-ty-dien-tu-samsung"
"QTD 173","Trạm xe buýt [QTD 173] ĐH Nông Lâm, Quận Thủ Đức","Cột điện SI 2 Quốc lộ 1, Quận Thủ Đức, Tp.Hồ Chí Minh","19, 33, 50, 93, 104","https://xebuyt.net/1042-dh-nong-lam"
"1082","Trạm xe bus Đối diện công ty sơn Alex (QL23B) - cắm mới","","63","https://xebuyt.net/1043-doi-dien-cong-ty-son-alex-ql23b-cam-moi"
"Q11 047","Trạm xe buýt [Q11 047] Ngã 4 Hòa Bình, Quận 11","3 (79) Hòa Bình, Quận 11, Tp.Hồ Chí Minh","11, 15, 23, 38, 62, 69, 144","https://xebuyt.net/1043-nga-4-hoa-binh"
"1083","Trạm xe bus Ngân hàng Viettinbank Mê Linh - QL23","","35B, 63","https://xebuyt.net/1044-ngan-hang-viettinbank-me-linh-ql23"
"Q11 041","Trạm xe buýt [Q11 041] Tòa án nhân dân Q11, Quận 11","85 Ông Ích Khiêm, Quận 11, Tp.Hồ Chí Minh","11, 23, 62, 69","https://xebuyt.net/1044-toa-an-nhan-dan-q11"
"58","Trạm xe bus Đối diện xí nghiệp đo đạc và bản đồ - cắm mới","","58, 63","https://xebuyt.net/1045-doi-dien-xi-nghiep-do-dac-va-ban-do-cam-moi"
"Q11 042","Trạm xe buýt [Q11 042] Ông Ích Khiêm, Quận 11","43 Ông Ích Khiêm, Quận 11, Tp.Hồ Chí Minh","11, 23, 62, 69","https://xebuyt.net/1045-ong-ich-khiem"
"1085","Trạm xe bus Xí nghiệp đo đạc và bản đồ","","58, 63","https://xebuyt.net/1046-xi-nghiep-do-dac-va-ban-do"
"Q11 039","Trạm xe buýt [Q11 039] CV Lãnh Binh Thăng, Quận 11","281A (Siêu thị Vinatex) Lãnh Binh Thăng, Quận 11, Tp.Hồ Chí Minh","11, 23, 62","https://xebuyt.net/1047-cv-lanh-binh-thang"
"63","Trạm xe bus Đối diện ngân hàng Viettinbank QL23","","63","https://xebuyt.net/1047-doi-dien-ngan-hang-viettinbank-ql23"
"35B","Trạm xe bus Công ty sơn Alex QL23","","35B, 63","https://xebuyt.net/1048-cong-ty-son-alex-ql23"
"Q11 048","Trạm xe buýt [Q11 048] Trường TH Phú Thọ, Quận 11","316 Tôn Thất Hiệp, Quận 11, Tp.Hồ Chí Minh","11, 23, 62","https://xebuyt.net/1048-truong-th-phu-tho"
"1088","Trạm xe bus Cạnh ngõ vào Cty CP vật tư Mỏ Địa chất - Quốc lộ 3","","15, 17, 43, 59","https://xebuyt.net/1049-canh-ngo-vao-cty-cp-vat-tu-mo-dia-chat-quoc-lo-3"
"Q11 049","Trạm xe buýt [Q11 049] Chợ Thiết, Quận 11","167-169 Phó Cơ Điều, Quận 11, Tp.Hồ Chí Minh","11, 62","https://xebuyt.net/1049-cho-thiet"
"19","Trạm xe bus 430 Cầu Am (đường Vạn Phúc - Hà Đông)","","19, 22C, 57, 77, 89","https://xebuyt.net/105-430-cau-am-duong-van-phuc-ha-dong"
"Q11 004","Trạm xe buýt [Q11 004] Xóm Đất, Quận 11","1196 Đường 3/2, Quận 11, Tp.Hồ Chí Minh","02, 14","https://xebuyt.net/105-xom-dat"
"Q5 042","Trạm xe buýt [Q5 042] Chợ Thiếc, Quận 5","235 Nguyễn Chí Thanh, Quận 5, Tp.Hồ Chí Minh","66, 96, 119, 144","https://xebuyt.net/1050-cho-thiec"
"1089","Trạm xe bus Đối diện Công ty Đúc Mai Lâm - Quốc lộ 3","","15, 17, 43, 59, 65","https://xebuyt.net/1050-doi-dien-cong-ty-duc-mai-lam-quoc-lo-3"
"Q5 075","Trạm xe buýt [Q5 075] Bộ Công an, Quận 5","211-213 Nguyễn Văn Cừ, Quận 5, Tp.Hồ Chí Minh","11, 45, 56, 96, 139","https://xebuyt.net/1051-bo-cong-an"
"1090","Trạm xe bus Đối diện Trung tâm lưu trú Lộc Hà - Quốc lộ 3","","15, 17, 43, 59","https://xebuyt.net/1051-doi-dien-trung-tam-luu-tru-loc-ha-quoc-lo-3"
"Q1 150","Trạm xe buýt [Q1 150] Báo An Ninh Thế Giới, Quận 1","371A Nguyễn Trãi, Quận 1, Tp.Hồ Chí Minh","11, 45, 46, 56, 96","https://xebuyt.net/1052-bao-an-ninh-the-gioi"
"1091","Trạm xe bus Đường vào khu di tích Cổ Loa - Km 5 Quốc lộ 3","","15, 43, 46, 59","https://xebuyt.net/1052-duong-vao-khu-di-tich-co-loa-km-5-quoc-lo-3"
"Q1 151","Trạm xe buýt [Q1 151] Nhà Khách Bộ Công An, Quận 1","333 Nguyễn Trãi, Quận 1, Tp.Hồ Chí Minh","11, 45, 46, 56, 96","https://xebuyt.net/1053-nha-khach-bo-cong-an"
"BX 18","Trạm xe buýt [BX 18] Phú Xuân, Quận 7","Bến Phú Xuân Đường số 15B, Quận 7, Tp.Hồ Chí Minh","110, 139","https://xebuyt.net/1054-phu-xuan"
"1093","Trạm xe bus Thôn Vạn Lộc (Qua đối diện ngã 3 đường tránh QL5 200m)","","15, 43, 46, 59","https://xebuyt.net/1054-thon-van-loc-qua-doi-dien-nga-3-duong-tranh-ql5-200m"
"HNB 001","Trạm xe buýt [HNB 001] Chợ Phú Xuân, Huyện Nhà Bè","1678-1680 (26/1-26/2) Huỳnh Tấn Phát, Huyện Nhà Bè, Tp.Hồ Chí Minh","20, 75, 110","https://xebuyt.net/1055-cho-phu-xuan"
"Q1 152","Trạm xe buýt [Q1 152] Chùa Lâm Tế, Quận 1","217 Nguyễn Trãi, Quận 1, Tp.Hồ Chí Minh","11, 46","https://xebuyt.net/1056-chua-lam-te"
"Q7 169","Trạm xe buýt [Q7 169] Phạm Hữu Lầu, Quận 7","63-65 Phạm Hữu Lầu, Quận 7, Tp.Hồ Chí Minh","139","https://xebuyt.net/1057-pham-huu-lau"
"HNB 003","Trạm xe buýt [HNB 003] Công an Thị trấn Nhà Bè, Huyện Nhà Bè","42/7 Huỳnh Tấn Phát, Huyện Nhà Bè, Tp.Hồ Chí Minh","20, 75, 110","https://xebuyt.net/1058-cong-an-thi-tran-nha-be"
"HNB 002","Trạm xe buýt [HNB 002] Chợ Phú Xuân, Huyện Nhà Bè","1809 Huỳnh Tấn Phát, Huyện Nhà Bè, Tp.Hồ Chí Minh","20, 75, 110","https://xebuyt.net/1059-cho-phu-xuan"
"1098","Trạm xe bus Qua đường vào Cty CP chế tạo thiết bị điện Đông Anh 50m - Quốc lộ 3","","15, 17","https://xebuyt.net/1059-qua-duong-vao-cty-cp-che-tao-thiet-bi-dien-dong-anh-50m-quoc-lo-3"
