Số tuyến,Tên tuyến,,,Trạm ,Cự ly,Thời gian hoạt động,Thời gian chuyến,Tuần suất mỗi chuyến,Loại xe,Đơn vị đảm nhiệm,Hình thức thanh toán,Ghi chú
29,"Phà Cát Lái
Bãi xe bến phà Cát Lái
Đường A, Phường Cát Lái",↔,"Chợ nông sản Thủ Đức
Bãi xe Chợ nông sản Thủ Đức
Đỗ Mười, Phường Tam Bình",Bãi đậu xe trên đường A-(rẽ trái)-Nguyễn Thị Định-(cầu Mỹ Thủy 1) -Nguyễn Thị Định-Lê Văn Thịnh-Nguyễn Duy Trinh (chung cư Bình Trưng)-Đỗ Xuân Hợp-đường Liên phường- đường D5-đường D3-Đỗ Xuân Hợp-(ngã 4 Bình Thái)-Nguyễn Văn Bá-Đặng Văn Bi-Võ Văn Ngân-Tô Ngọc Vân-Tam Hà-Phú Châu-Tô Ngọc Vân-Gò Dưa-(cầu vượt Gò Dưa)-Tỉnh lộ 43-Quốc lộ 1A-Chợ nông sản Thủ Đức.,"20,75 km",05:00 - 19:30,70 phút,8 – 15 phút,Golden Dragon B55,,,
30,"Cư xá Nhiêu Lộc
Lê Thúc Hoạch, Phường Phú Thọ Hòa",↔,"Bến xe buýt Văn Thánh
Nguyễn Văn Thương, Phường Thạnh Mỹ Tây",Bến xe buýt Cư xá Nhiêu Lộc - Lê Thúc Hoạch – Bình Long - Tân Hương - Độc Lập - Lũy Bán Bích – Âu Cơ - Trương Công Định - Trường Chinh - (Ngã tư Bảy Hiền) - Cách Mạng Tháng 8 - Điện Biên Phủ - Phạm Ngọc Thạch - Đồng Khởi - Lê Duẩn - Nguyễn Bỉnh Khiêm - Tôn Đức Thắng - Nguyễn Hữu Cảnh - (Cầu Sài gòn) -Xa lộ Hà Nội - (Trạm 2) - Quốc lộ 1 - quay đầu trên cầu vượt - Đường 621 - Trường ĐH Quốc tế - (quay đầu) - đường nhánh N2 - Bến A Đại học Quốc Gia,"18,30 km",05:00 - 22:00,50 phút,10 – 20 phút,Kim Long B60 EV,,,Tuyến xe điện
31,"Đại học Tôn Đức Thắng
Nguyễn Hữu Thọ, Phường Tân Hưng",Bến Thành ↔,"Đại học Văn Lang
Công viên Đặng Thùy Trâm
Đặng Thùy Trâm, Phường Bình Lợi Trung",Trường Đại học Tôn Đức Thắng - Nguyễn Hữu Thọ - Nguyễn Thị Thập - Nguyễn Văn Linh - Huỳnh Tấn Phát - (Cầu Tân Thuận 1) - Nguyễn Tất Thành - Hoàng Diệu - Nguyễn Thái Học - Trần Hưng Đạo - Hàm Nghi - Pasteur - Nguyễn Thị Minh Khai - Hai Bà Trưng - Trần Quang Khải - Đinh Tiên Hoàng - Phan Đăng Lưu - Nơ Trang Long - Bình Lợi - Hẻm 352 Bình Lợi - Đặng Thùy Trâm - Quay đầu tại hẻm 69 Đặng Thùy Trâm - Đặng Thùy Trâm - Công viên Đặng Thùy Trâm.,"21,27 km",,80 phút,,,,,
32,"Bến xe Miền Tây
Kinh Dương Vương, Phường An Lạc",↔,"Bến xe Ngã tư Ga
Đỗ Mười, Phường An Phú Đông",Bến xe Miền Tây - Kinh Dương Vương – Đặng Nguyên Cẩn –Tân Hóa – Lũy Bán Bích – Hòa Bình – Tô Hiệu - Nguyễn Lý - Lê Khôi - Nguyễn Sơn - Văn Cao - Tân Hương – Tân Quý - Tân Kỳ Tân Quý - Lê Trọng Tấn - Dương Đức Hiền - Chế Lan Viên - Đường D9 - Tây Thạnh - Trường Chinh - Phan Huy Ích - Phạm Văn Chiêu - Thống Nhất - Lê Đức Thọ - Nguyễn Oanh - Hà Huy Giáp - Cầu vượt Ngã 4 Ga - Đường vòng chân cầu vượt - Quốc lộ 1A - Bến xe Ngã 4 Ga.,"24,8 km",04:00 - 19:30,80 phút,9 – 15 phút,Samco City I.51 CNG,,"Tiền mặt
Thẻ ngân hàng
Ví điện tử",
33,"Bến xe An Sương
Lê Quang Đạo, Xã Bà Điểm",Suối Tiên ↔,"Đại học Quốc gia
Bến xe buýt khu A, Đại học Quốc gia
Phường Đông Hòa",Bến xe An Sương - Quốc lộ 22 - (rẽ trái tại nút giao thông An Sương) - Ngã tư An Sương - Quốc lộ 1 - Khu du lịch Suối Tiên - Quốc lộ 1 - quay đầu tại nút mở giao thông trên đường Quốc lộ 1 qua đoạn đường 13 - Đường 621 - Đường trục chính số 1 - số 5 - số 7 - Ký túc xá B (Đại học Quốc Gia).,25 km,04:30 - 22:00,50 phút,4 – 20 phút,Samco City H.68 CNG,Công Ty TNHH Dịch Vụ Vận Tải Sinh Thái Vinbus,"Tiền mặt
Thẻ ngân hàng",
34,"Bến Thành
 Bến xe buýt Sài Gòn, Phường Bến Thành",↔,"Bến xe buýt Quận 8
Quốc lộ 50, Phường Bình Đông",Bến CV 23/9 – Phạm Ngũ Lão – Yersin – Trần Hưng Đạo – Hàm Nghi – Nguyễn Thái Bình – Calmette – cầu Calmette - Hoàng Diệu - Nguyễn Tất Thành - cầu Tân Thuận 2 - Đường vòng chân cầu - Trần Xuân Soạn - Lê Văn Lương -Đường số 15-Đường số 2- Đường Số 15 - Đường số 10 - Đường số 17 - Mai Văn Vĩnh - Nguyễn Thị Thập - Tân Mỹ - Nguyễn Lương Bằng - Nguyễn Văn Linh - Phạm Hùng - Tạ Quang Bửu - Quốc lộ 50 - Bến xe buýt quận 8,"22,05 km",04:45 - 22:00,60 phút,10 – 20 phút,Kim Long B30 EV,,"Tiền mặt
FutaPay",Tuyến xe điện
36,,↔,"Thới An
Bến xe buýt Thới An
Lê Văn Khương, Phường Thới An",Bến Công viên 23/9 – Phạm Ngũ Lão –Yersin – Trần Hưng Đạo – Hàm Nghi - Pasteur - Lê Duẩn - Phạm Ngọc Thạch - Điện Biên Phủ - Hai Bà Trưng - Trần Quang Khải - Đinh Tiên Hoàng - Phan Đăng Lưu - Nơ Trang Long - Phan Văn Trị - Thống Nhất - Phạm Văn Chiêu - Lê Đức Thọ - Lê Văn Khương - Bến Thới An.,"18,97 km",,70 phút,8 – 15 phút,Kim Long B60 EV,,,
38,"Khu dân cư Tân Quy
Nguyễn Thị Thập, Tân Hưng",Bến Thành ↔,"Đầm Sen
Bãi xe buýt Đầm Sen
Hòa Bình, Phường Bình Thới",Khu dân cư Tân Quy (Q.7)-Nguyễn Thị Thập-Lê Văn Lương-Đường số 15-Nguyễn Hữu Thọ-cầu Kênh Tẻ-Khánh Hội-Hoàng Diệu-cầu Calmette – Calmette – Võ Văn Kiệt- Pasteur – Hàm Nghi - vòng xoay Bến Thành – Lê Lai – Phạm Hồng Thái - Cách Mạng Tháng Tám-Nguyễn Thị Minh Khai - Nguyễn Văn Cừ-An Dương Vương - Sư Vạn Hạnh - Lý Thái Tổ - Thành Thái - Tô Hiến Thành-Lữ Gia-Nguyễn Thị Nhỏ - Âu Cơ - Lạc Long Quân-Hòa Bình-Bến Đầm Sen.,"16,57 km",05:15 - 19:00,60 – 65 phút,12 – 17 phút,Samco City I.47,,"Tiền mặt
Thẻ ngân hàng",
39,"Bến Thành
Bến xe buýt Sài Gòn, Phường Bến Thành",Võ Văn Kiệt ↔,"Bến xe Miền Tây
Kinh Dương Vương, Phường An Lạc",Công viên 23/9 – Phạm Ngũ Lão – Yersin – Trần Hưng Đạo – Hàm Nghi – Nguyễn Thái Bình - Ký Con - Võ Văn Kiệt - Hải Thượng Lãn Ông - Lê Quang Sung - Phạm Đình Hổ - Cao Văn Lầu - Võ Văn Kiệt - Hồ Học Lãm - Kinh Dương Vương - Bến xe Miền Tây (trả khách) - Kinh Dương Vương - chỗ đậu xe buýt Bến xe Miền Tây,"17,57 km",05:00 - 22:00,55 phút,10 – 20 phút,Kim Long B30 EV,,"Tiền mặt
FutaPay",Tuyến xe điện
41,"Bến xe Miền Tây
Kinh Dương Vương, Phường An Lạc",Ngã 4 Bốn Xã ↔,"Bến xe An Sương
Lê Quang Đạo, Xã Bà Điểm",Bến xe Miền Tây - Kinh Dương Vương - Tên Lửa – Đường 17A – Đường 34 – Đường số 1- Tên Lửa – Tỉnh lộ 10 - Mã Lò - Lê Văn Quới - (ngã 4 Bốn xã) - Bình Long - Văn Cao - Tân Hương – Độc Lập – Tân Sơn Nhì – Gò Dầu – Cầu Xéo - Tân Kỳ Tân Quý - Lê Trọng Tấn - Tây Thạnh - Trường Chinh - Quốc lộ 22 (quay đầu tại Công ty Việt Hưng) - Bến xe An Sương;,"22,15 km",05:00 - 19:20,60 phút,10 – 15 phút,Golden Dragon B55,,,
43,"Bến xe Miền Đông
Đinh Bộ Lĩnh, Phường Bình Thạnh",↔,"Phà Cát Lái
Bãi xe bến phà Cát Lái
Đường A, Phường Cát Lái",Bến xe Miền Đông-Đinh Bộ Lĩnh-Bạch Đằng-Xô Viết Nghệ Tĩnh-Điện Biên Phủ-Cầu Sài Gòn-Xa Lộ Hà Nội-Trần Não- Lương Định Của-(nút giao An Phú)-Nguyễn Thị Định-(Cầu Mỹ Thủy 2)-Nguyễn Thị Định-Bến phà Cát Lái-(quay đầu)-Ngã 3 Nguyễn Thị Định và đường A1,"15,8 km",05:00 - 19:00,50 – 55 phút,14 – 16 phút,Samco City Hi-Class I.40,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến (Bao Yen Group)","Tiền mặt
Thẻ ngân hàng
Ví điện tử",
44,"Cảng Quận 4
Bến xe buýt Kho Muối
Tôn Thất Thuyết, Phường Vĩnh Hội",↔,"Bình Quới
Bãi xe bến đò Bình Quới
Bình Quới, Phường Bình Qưới",Cảng Quận 4 - Tôn Thất Thuyết - Tôn Đản - Vĩnh Hội - Tân Vĩnh - Hoàng Diệu - Đoàn Văn Bơ - cầu Calmette – Calmette – Trần Hung Đạo - Hàm Nghi - Pasteur - Lý Tự Trọng - Tôn Đức Thắng - Nguyễn Hữu Cảnh - Ngô Tất Tố - Nguyễn Văn Lạc - Xô Viết Nghệ Tĩnh - Bình Quới – Bến đò Bình Quới;,"16,65 km",05:00 - 22:00,60 phút,10 – 20 phút,Kim Long B30 EV,,"Tiền mặt
FutaPay",Tuyến xe điện
45,"Đại học Kinh tế
Nguyễn Văn Linh, Xã Bình Hưng",Bến Thành ↔,"Bến xe Miền Đông
Đinh Bộ Lĩnh, Phường Bình Thạnh",Bến xe Quận 8 - Quốc lộ 50 - (cầu Nhị Thiên Đường) - Tùng Thiện Vương - Xóm Củi - (cầu Chà Và) - Vạn Kiếp - Hải Thượng Lãn Ông - (Quay đầu tại giao lộ Triệu Quang Phục) - Hải Thượng Lãn Ông - Châu Văn Liêm - Thuận Kiều - Nguyễn Chí Thanh - Sư Vạn Hạnh - An Dương Vương - Nguyễn Văn Cừ - Nguyễn Trãi - Nguyễn Cư Trinh - Trần Hưng Đạo - Hàm Nghi - Hồ Tùng Mậu - đường nhánh S2 - Tôn Đức Thắng - Hai Bà Trưng - Nguyễn Thị Minh Khai - Nguyễn Bỉnh Khiêm - Điện Biên Phủ - Xô Viết Nghệ Tĩnh - Đinh Bộ Lĩnh - Bến xe Miền Đông,"22,3 km",04:45 - 20:00,65 – 80 phút,10 – 15 phút,Samco City H.68 CNG,,"Tiền mặt
Thẻ ngân hàng",
