Số tuyến,Tên tuyến,,,Trạm ,Cự ly,Thời gian hoạt động,Thời gian chuyến,Tuần suất mỗi chuyến,Loại xe,Đơn vị đảm nhiệm,Hình thức thanh toán,Ghi chú
94,"Chợ Lớn
Bến xe buýt Chợ Lớn A, Phường Bình Tây",↔,"Bến xe Củ Chi
Phan Văn Khải, Xã Tân An Hội",Bến Xe Chợ Lớn (Bến A) - Lê Quang Sung - Nguyễn Thị Nhỏ - Hồng Bàng - Tạ Uyên - Nguyễn Chí Thanh - Lý Thường Kiệt - Hoàng Văn Thụ - Xuân Diệu - Xuân Hồng - Trường Chinh - Quốc lộ 22 - Bến xe Củ Chi.,"36,1 km",04:00 - 19:00,75 phút,12 – 25 phút,"Tracomeco Starbus B55
Golden Dragon XML6845J13C Golden Dragon XML6925J15C
 1-5auto Transinco B60KL
Samco City I.40 CNG
Tracomeco CityBus B40
1-5auto Transinco B80KL",HTX Vận tải 19/5,Tiền mặt,Không trợ giá
99,"Chợ Thạnh Mỹ Lợi
KDC Thạnh Mỹ Lợi
Trương Gia Mô, Phường Cát Lái",↔,"Đại học Quốc gia
Bến xe buýt khu B, Đại học Quốc gia
Phường Đông Hòa",Bến Khu dân cư Thạnh Mỹ Lợi (trước khu vui chơi thiếu nhi cách ngã 3 Trương Gia Mô-Đồng Văn Cống 100m)-Trương Gia Mô-Phạm Thận Duật-Nguyễn Khoa Đăng-Đường nội bộ khu dự án CN Sài Gòn-Lâm Văn Ky-Đường nội bộ khu dự án CN Sài Gòn (Bệnh viện Quốc tế Phúc An Khang)-Nguyễn Địa Lô-Trương Văn Bang (UBND Quận 2)-Phan Văn Đáng-Đồng Văn Cống-Mai Chí Thọ-Xa lộ Hà Nội-Tây Hòa-Đỗ Xuân Hợp-Tăng Nhơn Phú-Đình Phong Phú-Lê Văn Việt-Hoàng Hữu Nam-Cầu Xây-Nam Cao-Quốc lộ 1-quay đầu trên cầu vượt-Quốc lộ 1-Đường 621-(rẽ phải)-Đường trục chính số 1-số 5-số 7-Ký túc xá B (Đại học Quốc Gia).,"27,5 km",05:00 - 19:30,65 phút,11 – 14 phút,Golden Dragon B55,,"Tiền mặt
FutaPay",
100,"Bến xe Củ Chi
Phan Văn Khải, Xã Tân An Hội",↔,"Cầu Tân Thái
Tỉnh lộ 7, Xã Thái Mỹ",Bến xe Củ Chi - Giáp Hải - (quay đầu) - Giáp Hải - Quốc lộ 22 – Ngã 4 Phước Thạnh - Tỉnh lộ 7 - Cầu Tân Thái.,"16,8 km",04:45 - 21:00,35 phút,8 – 20 phút,Kim Long B55,,,
101,"Chợ Lớn
Bến xe buýt Chợ Lớn B, Phường Bình Tây",↔,"Chợ Tân Nhựt
Thế Lữ, Xã Tân Nhựt","Ga Chợ Lớn B - Lê Quang Sung - Phạm Đình Hổ - Bãi Sậy - Bình Tiên - Văn Thân - Bà Lài - Phạm Văn Chí - cầu Phạm Văn Chí - Nguyễn Văn Luông - Đường số 26 - An Dương Vương - Phú Định - Hồ Học Lãm - Võ Văn Kiệt - Quốc lộ 1 - Dương Đình Cúc - Thế Lữ Đường dẫn cao tốc (Tân Tạo - Chợ Điệm) - Kênh 10 - Bệnh Viện Nhi Đồng Thành Phố (quay đầu) - Kênh 10 - Đường song hành - Thế Lữ - Chợ Tân Nhựt (đậu xe tại vị trí bãi đất trống có địa chỉ số B14/290, ấp 2, xã Tân Nhựt, huyện Bình Chánh)","19,85 km",05:00 - 20:30,55 phút,10 – 20 phút,Kim Long B30 EV,,,Tuyến xe điện
102,"Bến Thành
Bến xe buýt Sài Gòn, Phường Bến Thành",Nguyễn Văn Linh ↔,"Bến xe Miền Tây
Kinh Dương Vương, Phường An Lạc",Bãi xe buýt Công viên 23/9 -Phạm Ngũ Lão -Yersin - Trần Hưng Đạo – Hàm Nghi – Nguyễn Thái Bình – Calmette – cầu Calmette – Đoàn Văn Bơ - Hoàng Diệu - Nguyễn Tất Thành - cầu Tân Thuận 2 - Nguyễn Văn Linh - đường vào TTTM Bình Điền - TTTM Bình Điền - quay đầu - Nguyễn Văn Linh - Quốc lộ 1A - Kinh Dương Vương - Bến xe Miền Tây (trả khách) - Kinh Dương Vương - Bến xe Miền Tây,"32,72 km",04:30 - 19:00,80 phút,12 – 20 phút,Golden Dragon B55,,,
103,"Chợ Lớn
Bến xe buýt Chợ Lớn A, Phường Bình Tây",↔,"Bến xe Ngã tư Ga
Đỗ Mười, Phường An Phú Đông",Bến xe buýt Chợ Lớn (khu A) – đường Lê Quang Sung – đường Nguyễn Thị Nhỏ – đường Hồng Bàng – đường Tạ Uyên – Đường 3/2 – đường Lý Thường Kiệt – đường Tô Hiến Thành – đường Thành Thái nối dài – đường Tam Đảo – đường Đồng Nai – đường Trường Sơn – đường Cách Mạng Tháng 8 – đường Hoàng Văn Thụ – đường Phan Đình Giót – đường Trường Sơn – đường Hồng Hà – Vòng Xoay – đường Nguyễn Thái Sơn – đường Phạm Ngũ Lão – đường Quang Trung – đường Lê Văn Thọ – đường Lê Đức Thọ – Quốc Lộ 1A – Đường Nội Bộ KDC Nam Long – đường Hà Huy Giáp – Đường Vòng Chân Cầu Vượt – Quốc Lộ 1A – Bến xe ngã tư Ga.,"24,9 km",05:00 - 20:30,85 phút,10 – 15 phút,Kim Long B30 EV,,,Tuyến xe điện
104,"Bến xe An Sương
Lê Quang Đạo, Xã Bà Điểm",↔,"Bến xe buýt Văn Thánh
Nguyễn Văn Thương, Phường Thạnh Mỹ Tây",Bến xe An Sương – Quốc lộ 22 – Trường Chinh – (KCN Tân Bình) – Cộng Hòa – Hoàng Văn Thụ - Phan Đăng Lưu – Bạch Đằng – Xô Viết Nghệ Tĩnh – Điện Biên Phủ - Xa lộ Hà Nội – Ngã tư Thủ Đức – Võ Văn Ngân – Lê Văn Chí – Hoàng Diệu 2- Đường số 7 - Đường số 6 – Đường số 14 – Quốc lộ 1A – Đầu bến trường Đại học Nông Lâm.,"16,1 km",04:30 - 22:00,45 phút,6 – 20 phút,Kim Long B60 EV,,,
107,"Bến xe Củ Chi
Phan Văn Khải, Xã Tân An Hội",↔,"Bố Heo
Đầu bến Ngã tư Bố Heo
Hương lộ 2, Xã Thái Mỹ",Bến xe Củ Chi - Quốc lộ 22 - Tỉnh lộ 7 - Hương lộ 2 - Bố Heo,"15,6 km",04:45 - 20:00,30 phút,15 – 30 phút,Kim Long B55,,,
109,"Bến xe buýt Sài Gòn
Phường Bến Thành",↔,"Sân bay Tân Sơn Nhất
Bãi xe Nhà ga T3 Sân bay Tân Sơn Nhất
Phường Tân Sơn",,"9,3 km",05:30 - 22:40,45 phút,15 - 25 phút,Kim Long B30 EV,,,"Không trợ giá
Tuyến xe điện"
110,"Hiệp Phước
Bãi xe buýt Cầu Kênh Lộ
Nguyễn Văn Tạo, Xã Hiệp Phước",↔,"Phước Lộc
Bến đò Bảy Bé
Đào Sư Tích, Xã Nhà Bè",Bến đò Hiệp Phước - Nguyễn Văn Tạo - Nguyễn Bình - Huỳnh Tấn Phát - Phạm Hữu Lầu - Lê Văn Lương - Đào Sự Tích - Cầu Phước Lộc,"26,3 km",05:00 - 19:45,65 phút,16 – 21 phút,Samco City I.40,Công ty Cổ phần Vận tải 26,"Tiền mặt
Thẻ ngân hàng
Ví điện tử",
122,"Bến xe An Sương
Lê Quang Đạo, Xã Bà Điểm",↔,"Tân Quy
Bến xe buýt Tân Quy
Tỉnh lộ 8, Xã Bình Mỹ","Bến xe An Sương - Quốc lộ 22 - (quay đầu tại nút giao thông An Sương) - Quốc lộ 22 - Bà Triệu - Quang Trung - Trưng Nữ Vương - Đỗ Văn Dậy - Tỉnh lộ 15 - Tỉnh lộ 8 - Bến xe buýt Tân Quy (Ấp Thạnh An, Xã Trung An, Huyện Củ Chi).","19,76 km",04:45 - 19:30,50 phút,6 – 12 phút,Foton AUV B60 CNG,HTX Vận tải 19/5,Tiền mặt,
126,"Bến xe Củ Chi
Phan Văn Khải, Xã Tân An Hội",↔,"Bình Mỹ
Cầu Phú Cường,
Tỉnh lộ 8, Xã Bình Mỹ",Bến xe Củ Chi - Quốc lộ 22 - Tỉnh lộ 8 - Bến đò Bình Mỹ,"19,4 km",04:45 - 20:00,40 phút,8 – 15 phút,Kim Long B30 EV,,"Tiền mặt
FutaPay",Tuyến xe điện
127,"An Thới Đông
Bến đò An Thới Đông
Xã An Thới Đông",↔,"Ngã ba Bà Xán
Bà Xán, Xã Bình Khánh",,18 km,05:30 - 20:00,,10 – 30 phút,Samco City I.40,,Tiền mặt,
128,"Tân Điền
Trạm y tế ấp Tân Điền
Dương Văn Hạnh, Xã An Thới Đông",↔,"An Nghĩa
Trường trung học phổ thông An Nghĩa
Tam Thôn Hiệp, Xã Bình Khánh",,"24,9 km",05:00 - 20:00,50 phút,8 – 30 phút,Kim Long B30,,"Tiền mặt
FutaPay",
139,"Bến xe Miền Tây
Kinh Dương Vương, Phường An Lạc",↔,"Khu tái định cư Phú Mỹ
Đối diện Block A4 chung cư Kỷ Nguyên
Đường D3, Phường Tân Mỹ",Bến xe Miền Tây - Kinh Dương Vương - Hồng Bàng - An Dương Vương - Nguyễn Văn Cừ - Trần Hưng Đạo - Nguyễn Thái Học - cầu Ông Lãnh - Hoàng Diệu - Khánh Hội - cầu Kênh Tẻ - Nguyễn Hữu Thọ - Đường số 15 - Lê Văn Lương - Nguyễn Thị Thập - Tân Mỹ - Nguyễn Lương Bằng - Hoàng Quốc Việt - Huỳnh Tân Phát - Phạm Hữu Lầu - đường 15B - Khu tái định cư Phú Mỹ.,22 km,04:45 - 19:00,60 – 70 phút,10 – 20 phút,Samco City I.47,,"Tiền mặt
Thẻ ngân hàng",
140,"Bến xe buýt Sài Gòn
Phường Bến Thành",Phạm Thế Hiển ↔,"Trường Đại học Văn Hiến
Nguyễn Văn Linh, Xã Bình Hưng",Ga hành khách xe buýt Sài Gòn (công viên 23/9) – Phạm Ngũ Lão- Nguyễn Thái Học - Hoàng Diệu - Khánh Hội - Nguyễn Hữu Thọ - Nguyễn Thị Thập - Lê Văn Lương - Trần Xuân Soạn - Phạm Thế Hiển - Khu Dân Cư Phú Lợi (đậu xe tại vị trí cổng sau trường THPT Nguyễn Văn Linh),"21,4 km",05:00 - 19:30,70 phút,20 – 30 phút,Bahai HC B40 (2014/2016),Công ty Cổ phần Vận tải 26,"Tiền mặt
Thẻ ngân hàng
Ví điện tử",
141,"Khu du lịch BCR
Tam Đa, Phường Long Phước",Long Trường ↔,"Khu chế xuất Linh Trung II
Bến xe buýt Khu chế xuất Linh Trung 2
Ngô Chí Quốc, Phường Tam Bình",Khu du lịch The BCR - Tam Đa - Nguyễn Duy Trinh - Lã Xuân Oai - Làng Tăng Phú - Lê Văn Việt (Đại học GTVT) - Ngã tư Thủ Đức - Võ Văn Ngân - Tô Ngọc Vân - Tam Hà - Phú Châu - Tô Ngọc Vân - Gò Dưa - cầu vượt Gò Dưa - Tỉnh lộ 43 - Ngô Chí Quốc - Bến xe buýt Linh Trung II,"21,8 km",,65 phút,10 – 15 phút,Golden Dragon B55,,"Tiền mặt
FutaPay",
145,"Chợ Lớn
Bến xe buýt Chợ Lớn B, Phường Bình Tây",↔,"Chợ Hiệp Thành
Bến xe buýt Hiệp Thành
Hiệp Thành 17, Phường Tân Thới Hiệp",Ga Chợ Lớn B-Lê Quang Sung-Nguyễn Thị Nhỏ-Hồng Bàng-Minh Phụng - Bình Thới - Lạc Long Quân -Lý Thường Kiệt-Hoàng Văn Thụ-Cộng Hòa-Trường Chinh-Quốc lộ 22-Ngã 4 Trung Chánh-Nguyễn Ảnh Thủ-HT17-Bến xe buýt Chợ Hiệp Thành,23 km,04:30 - 20:30,70 phút,12 – 15 phút,Kim Long B80 EV,,,Tuyến xe điện
146,"Bến xe Miền Đông
Đinh Bộ Lĩnh, Phường Bình Thạnh",↔,,Bến xe Miền Đông - Đinh Bộ Lĩnh - Bạch Đằng - Phan Đăng Lưu - Hoàng Hoa Thám - Nguyễn Văn Đậu - Lê Quang Định - Nguyễn Văn Nghi - Nguyễn Thái Sơn - Phan Văn Trị - Hẻm 468 - Dương Quảng Hàm - Lê Đức Thọ - Nguyễn Văn Lượng - Thống Nhất - Tô Ngọc Vân - Quốc lộ 1 - Lê Thị Riêng - Nguyễn Thị Kiêu - Nguyễn Ảnh Thủ - HT17 - Bến xe buýt Hiệp Thành.,19 km,04:45 - 20:30,65 phút,10 – 15 phút,Kim Long B30 EV,,,
148,"Bến xe Miền Tây
Kinh Dương Vương, Phường An Lạc",↔,"Gò Vấp
Bãi hậu cần số 1
Phan Văn Trị, Phường An Nhơn",Bến xe Miền Tây-Kinh Dương Vương-Hậu Giang-Minh Phụng-Bình Thới-Lạc Long Quân-Lý Thường Kiệt-Hoàng Văn Thụ-Phan Đình Giót-Phổ Quang-Hoàng Minh Giám-Nguyễn Thái Sơn-Phan Văn Trị-Bãi hậu cần số 1 (Gò Vấp).,"16,7 km",04:45 - 19:30,50 – 65 phút,12 – 18 phút,Samco City I.51 CNG,,"Tiền mặt
Thẻ ngân hàng",
150,"Chợ Lớn
Bến xe buýt Chợ Lớn A, Phường Bình Tây",↔,"Bến xe Miền Đông mới
Quốc lộ 1A, Phường Long Bình",Ga Chợ Lớn A - Lê Quang Sung - Phạm Đình Hổ - Tháp Mười - Ngô Nhân Tịnh - Phú Hữu - Hồng Bàng - An Dương Vương - Nguyễn Tri Phương - Ngô Gia Tự - Điện Biên Phủ - Xa lộ Hà Nội - Quốc lộ 52 - Ngã ba Tân Vạn - Ngã 4 Vũng Tàu - Bến xe Ngã 4 Vũng Tàu (đón trả khách) – Bến ngã 3 Tân Vạn.,"26,6 km",04:00 - 22:00,70 phút,5 – 10 phút,Samco City H.68 CNG,Công Ty TNHH Dịch Vụ Vận Tải Sinh Thái Vinbus,"Tiền mặt
Thẻ ngân hàng",
151,"Bến xe Miền Tây
Kinh Dương Vương, Phường An Lạc",Quốc lộ 1A ↔,"Bến xe An Sương
Lê Quang Đạo, Xã Bà Điểm",Bến xe Miền Tây - Kinh Dương Vương - Hồ Học Lãm - Quốc lộ 1 - nút giao thông An Sương - Quốc lộ 22 - Bến xe An Sương (Quay đầu tại Ngã 3 Công ty Việt Hưng).,"17,2 km",04:00 - 20:00,50 phút,7 – 15 phút,Golden Dragon B55,,"Tiền mặt
FutaPay",
152,"Khu dân cư Trung Sơn
Bãi xe Khu dân cư Trung Sơn
Đường số 10, Xã Bình Hưng",Bến Thành ↔,"Sân bay Tân Sơn Nhất
Bãi xe Ga Quốc tế Sân bay Tân Sơn Nhất
Trường Sơn, Phường Tân Sơn Hòa",Chỗ đậu xe buýt cuối đường số 10 (Khu dân cư Trung Sơn) - Đường 9A - (quay đầu gần giao lộ đường 9A và đường Nguyễn Văn Linh) - Đường 9A - Dương Bá Trạc - Nguyễn Văn Cừ - Trần Hưng Đạo - Hàm Nghi – Pasteur - Võ Thị Sáu - Nam Kỳ Khởi Nghĩa - Nguyễn Văn Trỗi - Phan Đình Giót - Trường Sơn – Cầu Vượt - Sân bay Tân Sơn Nhất (Ga Quốc tế).,"14,55 km",05:15 - 19:00,50 – 55 phút,12 – 18 phút,Tracomeco Citybus B40,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến (Bao Yen Group)","Tiền mặt
Thẻ ngân hàng
Ví điện tử",
153,"Bến tàu thủy Bình An
Đường số 21, Phường An Khánh",↔,"Đường Liên Phường
Ngã 4 Liên Phường - Bưng Ông Thoàn, Phường Long Trường",,"16,7 km",05:00 - 22:00,55 phút,10 – 15 phút,Kim Long B30 EV,,"Tiền mặt
FutaPay",
154,"Trường Đại học Quản lý và Công nghệ
Đường số 60 CL, Phường Cát Lái",↔,"Bến xe buýt Dạ cầu Sài Gòn
Đường số 19, Phường An Khánh",,"16,85 km",05:00 - 22:05,,,,,,
155,"Bến Thành
Ga Bến Thành
Phạm Ngũ Lão, Phường Bến Thành",Nhà hát Thành phố ↔,"Bến Thành
Ga Bến Thành
Phạm Ngũ Lão, Phường Bến Thành",,"6,4 km",05:00 - 22:00,35 phút,15 – 20 phút,,,,Tuyến vòng kín 1 chiều
156,,Ga Hòa Hưng (Ga Sài Gòn) ↔,,,"7,35 km",05:00 - 22:05,30 phút,,,,,Tuyến vòng kín 2 chiều
157,"Bến xe buýt Văn Thánh
Nguyễn Văn Thương, Phường Thạnh Mỹ Tây",Chung cư Đức Khải ↔,"Khu dân cư Thạnh Mỹ Lợi
Trương Gia Mô, Phường Cát Lái",,"15,5 km",,55 phút,10 – 15 phút,,,,
158,,Cư xá Thanh Đa ↔,"Bến xe buýt Văn Thánh
Nguyễn Văn Thương, Phường Thạnh Mỹ Tây",,"9,8 km",05:00 - 22:00,25 – 30 phút,,,,,Tuyến vòng kín 1 chiều
159,"Ga Văn Thánh
Hẻm 56 Điện Biên Phủ, Phường Thạnh Mỹ Tây","Chung cư Ngô Tất Tố ↔ 
 Ngã tư Hàng Xanh","Ga Văn Thánh
Hẻm 56 Điện Biên Phủ, Phường Thạnh Mỹ Tây",,"5,2 km",,20 phút,,,,,
160,,Vinhomes Central Park ↔,,,"4,1 km",,15 phút,15 – 20 phút,,,,
161,"Bến xe buýt Văn Thánh
Nguyễn Văn Thương, Phường Thạnh Mỹ Tây",↔,"Bến xe Ngã tư Ga
Đỗ Mười, Phường An Phú Đông",,"15,25 km",05:00 - 22:05,50 – 55 phút,8 – 15 phút,Kim Long B60 EV,,,
162,"Bến xe buýt Ga Metro Bình Thái
Đường Song hành Xa lộ Hà Nội, Phường Phước Long","Chung cư Man Thiện ↔ 
 Trường Trung học cơ sở Hoa Lư","Bến xe buýt Ga Metro Bình Thái
Đường Song hành Xa lộ Hà Nội, Phường Phước Long",,"9,5 km",,30 phút,10 – 15 phút,Kim Long B30 EV,,,Tuyến vòng kín 2 chiều
163,,"Trung học Cơ sở Phước Bình ↔ 
 Cao đẳng Công Thương",,,8 km,05:00 - 22:00,25 phút,,,,,
`64,"Đại học Nông Lâm
Đỗ Mười, Phường Linh Xuân","Ga Metro Khu Công nghệ cao ↔ 
 Chung cư Topaz","Đại học Nông Lâm
Đỗ Mười, Phường Linh Xuân",,"10,4 km",,35 phút,,,,,
165,,Khu Công nghệ cao ↔,,,"19,8 km",,60 phút,,,,,Tuyến vòng kín 1 chiều
166,"Suối Tiên
Ga Metro Đại học Quốc gia
Đường Song Hành Xa lộ Hà Nội, Phường Linh Xuân",Đại học Quốc gia ↔,"Suối Tiên
Ga Metro Đại học Quốc gia
Đường Song Hành Xa lộ Hà Nội, Phường Linh Xuân",,"6,6 km",,20 phút,8 - 15 phút,Kim Long B60 EV,,,
167,"Đại học Nông Lâm
Đỗ Mười, Phường Linh Xuân","Khu Chế xuất Linh Trung 1 ↔ 
Ga Metro Khu Công nghệ cao","Đại học Nông Lâm
Đỗ Mười, Phường Linh Xuân",,"13,15 km",05:00 - 22:05,55 phút,7 - 15 phút,,,,Tuyến vòng kín 2 chiều
168,"Trường Đại học Ngân hàng
Đường số 17, Phường Thủ Đức","Đại học Sư phạm Kỹ thuật Thành phố ↔ 
Ga Metro Thủ Đức","Trường Đại học Ngân hàng
Đường số 17, Phường Thủ Đức",,"5,9 km",,25 phút,10 - 15 phút,Kim Long B30 EV,,,
169,"Bến xe buýt Ga Metro Bình Thái
Đường Song hành Xa lộ Hà Nội, Phường Phước Long","Vincom Thủ Đức ↔ 
Cảng Phúc Long","Bến xe buýt Ga Metro Bình Thái
Đường Song hành Xa lộ Hà Nội, Phường Phước Long",,"7,9 km",,,,,,,
D4,"VinHomes Grand Park
 KDC VinHomes Grand Park, Phường Long Bình",↔,"Bến Thành
Bến xe buýt Sài Gòn, Phường Bến Thành",,"29,5 km",05:00 - 22:00,80 phút,15 - 20 phút,Vinfast Greenbus 10,Công Ty TNHH Dịch Vụ Vận Tải Sinh Thái Vinbus,"Tiền mặt
Thẻ ngân hàng",Tuyến xe điện
