csv_code,routeName,operator,transportType,totalDistance,vehicleType,operatingTime,baseFare,numTrips,tripTime,frequency
62-7,Bến xe buýt Chợ Lớn - Bến xe Đức Huệ,"Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng, ĐT: (028)38.535.935 Đông Thành-Long An Hợp tác xã Xe khách liên tỉnh Miền Tây, ĐT: (028)38750193 Hợp tác xã xe DL và VT số 4, ĐT: (028)39691377 Hợp Tác Xã Vận Tải Đức Hòa",Phổ thông - Không trợ giá,52.00 km,25 - 80 chỗ,04:50 - 17:00,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 22,000 VNĐ - Vé lượt không trợ giá: 8,000 VNĐ - Vé lượt trợ giá: 9,000 VNĐ",40 chuyến/ngày,115 phút,20 - 60 phút
62-8,Bến xe buýt Chợ Lớn - Bến xe Tân An,"Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng, ĐT: (028)38.535.935 Hợp tác xã Xe khách liên tỉnh Miền Tây, ĐT: (028)38750193 HTX VT Trung Dũng Cty Cổ Phần Vận Tải Long An",Phổ thông - Không trợ giá,42.00 km,40 - 90 chỗ,04:30 - 19:30,"- Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 18,000 VNĐ - Vé lượt không trợ giá: 22,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ - Vé lượt không trợ giá: 8,000 VNĐ",88 chuyến/ngày,80 phút,19 - 35 phút
62-9,Bến xe buýt Quận 8 - Thị xã Gò Công,"Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng, ĐT: (028)38.535.935 Hợp tác xã Xe khách liên tỉnh Miền Tây, ĐT: (028)38750193 Hợp tác xã xe DL và VT số 4, ĐT: (028)39691377 Hợp Tác Xã Vận tải Đồng Hiệp HTX Giao thông vận tải Gò Công Tây Hợp tác xã vận tải thủy bộ Toàn Thắng",Phổ thông - Không trợ giá,38.20 km,29 - 90 chỗ,03:15 - 19:00,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ - Vé lượt không trợ giá: 40,000 VNĐ",108 chuyến/ngày,100 phút,15 - 30 phút
63-1,Bến xe buýt Tân Phú - Bến xe Tiền Giang,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Không trợ giá,85.00 km,26 chỗ,04:45 - 18:15,"- Vé lượt không trợ giá: 12,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ - Vé lượt không trợ giá: 40,000 VNĐ - Vé lượt không trợ giá: 70,000 VNĐ",64 chuyến/ngày,180 phút,20 - 30 phút
70-1,Bến xe Củ Chi - Bến xe Tây Ninh,"Hợp tác xã vận tải xe buýt và du lịch Quyết Tiến, ĐT: 028.6678.9396 Hợp Tác Xã Du Lịch Vận Tải Đồng Tiến",Phổ thông - Không trợ giá,66.00 km,40 - 64 chỗ,03:00 - 19:00,"- Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 25,000 VNĐ - Vé lượt không trợ giá: 8,000 VNĐ",80 chuyến/ngày,107 - 115 phút,20 - 25 phút
70-2,Bến xe Củ Chi - Tòa Thánh - Khu du lịch Núi Bà Đen,"Hợp tác xã vận tải 19/5, ĐT: 18001557",Phổ thông - Không trợ giá,73.00 km,40 - 51 chỗ,02:55 - 19:00,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 15,000 VNĐ - Vé lượt không trợ giá: 30,000 VNĐ - Vé lượt không trợ giá: 35,000 VNĐ - Vé lượt không trợ giá: 40,000 VNĐ",68 chuyến/ngày,105 phút,20 - 30 phút
72-1,Sân bay Tân Sơn Nhất – Đường cao tốc – Bến xe Vũng Tàu,"Công ty Cổ phần đầu tư AVIGO, ĐT: (028) 22422229 Công ty TNHH Toàn Thắng, ĐT: 19006968",Phổ thông - Không trợ giá,108.00 km,17 - 19 chỗ,04:00 - 23:00,"- Vé lượt không trợ giá: 150,000 VNĐ - Vé lượt không trợ giá: 200,000 VNĐ",78 chuyến/ngày,150 phút,15 - 60 phút
72-2B,Thành phố Vũng Tàu - Sân bay Tân Sơn Nhất,"Chi nhánh Công ty liên doanh vận chuyển Quốc tế Hải Vân tại Bà Rịa - Vũng Tàu, ĐT: 19006763",Phổ thông - Không trợ giá,110.00 km,chỗ,02:40 - 23:30,"- Vé lượt không trợ giá: 150,000 VNĐ",110 chuyến/ngày,180 - 190 phút,20 phút
D4,Vinhomes Grand Park - Bến xe buýt Sài Gòn,"Công ty TNHH Vận tải sinh thái Vinbus, ĐT: 1900 866 663",Phổ thông - Có trợ giá,29.50 km,67 chỗ,05:00 - 22:00,"- Vé lượt không trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 157,500 VNĐ",108 chuyến/ngày,80 phút,15 - 20 phút
DL01,Tuyến xe  du lịch vòng khu vực trung tâm thành phố,"Công ty TNHH Ảnh Việt Hop on - Hop off VN, ĐT: (028) 3526 8266",Không trợ giá - Du lịch,12.70 km,60 chỗ,00:00 - 23:00,,24 chuyến/ngày,60 phút,60 phút
DL02,City Tour Sài Gòn - Gia Định,Công ty Cổ phần du lịch Việt Nam - Hà Nội,Không trợ giá - Du lịch,0 m,48 - 60 chỗ,09:00 - 17:30,,18 chuyến/ngày,30 phút,30 phút
DL03,"Vận chuyển hành khách bằng xe 2 tầng, thoáng nóc Sài Gòn – Chợ Lớn","Công ty TNHH Ảnh Việt Hop on - Hop off VN, ĐT: (028) 3526 8266",Không trợ giá - Du lịch,20.50 km,60 chỗ,08:00 - 22:30,"- Vé lượt không trợ giá: 150,000 VNĐ - Vé lượt không trợ giá: 200,000 VNĐ - Vé lượt không trợ giá: 300,000 VNĐ - Vé lượt không trợ giá: 350,000 VNĐ - Vé lượt không trợ giá: 400,000 VNĐ - Vé lượt không trợ giá: 50,000 VNĐ - Vé lượt không trợ giá: 500,000 VNĐ",30 chuyến/ngày,90 phút,30 phút
DL04,City tour Sài Gòn - Chợ Lớn,Công ty Cổ phần du lịch Việt Nam - Hà Nội,Không trợ giá - Du lịch,2.22 km,chỗ,09:00 - 16:00,"- Vé lượt không trợ giá: 10,000 VNĐ",8 chuyến/ngày,80 phút,60 phút
DL05,Bến xe buýt Sài Gòn - Tân Định,Công ty CP VT DL&TT Viet BigBus,Không trợ giá - Du lịch,24.00 km,60 chỗ,08:00 - 22:00,"- Vé lượt không trợ giá: 450,000 VNĐ",15 chuyến/ngày,95 phút,60 phút
HS-01,Hà Quang Vóc - Trường THCS Bình Khánh,Hợp tác xã Tân Tiến,Học sinh - Có trợ giá,3.80 km,29 chỗ,05:55 - 17:19,- Vé lượt trợ giá HSSV: 0 VNĐ,22 chuyến/ngày,7 phút,14 phút
HS-02,Bà Xán - Trường THCS Bình Khánh,Hợp tác xã Tân Tiến,Học sinh - Có trợ giá,7.10 km,29 chỗ,05:55 - 17:25,- Vé lượt trợ giá HSSV: 0 VNĐ,20 chuyến/ngày,12 phút,1 phút
HS-03,Đường Trần Quang Quờn (Khu dân cư kho lúa) - Trường THCS Bình Khánh,Hợp tác xã Tân Tiến,Học sinh - Có trợ giá,1.40 km,29 chỗ,06:12 - 17:05,- Vé lượt trợ giá HSSV: 0 VNĐ,10 chuyến/ngày,5 phút,8 phút
HS-04,Rừng Sác (Bình Khánh) - Trường THCS Bình Khánh,Hợp tác xã Tân Tiến,Học sinh - Có trợ giá,2.60 km,29 chỗ,06:00 - 17:27,- Vé lượt trợ giá HSSV: 0 VNĐ,130 chuyến/ngày,5 phút,1 phút
HS-05,Hà Quang Vóc - Trường THPT Bình Khánh,Hợp tác xã Tân Tiến,Học sinh - Có trợ giá,3.80 km,29 chỗ,06:05 - 17:18,- Vé lượt trợ giá HSSV: 0 VNĐ,8 chuyến/ngày,6 phút,25 phút
HS-06,Bà Xán - Trường THPT Bình Khánh,Hợp tác xã Tân Tiến,Học sinh - Có trợ giá,7.10 km,29 chỗ,06:00 - 17:11,- Vé lượt trợ giá HSSV: 0 VNĐ,8 chuyến/ngày,11 phút,10 phút
HS-07,Đường Rừng Sác (Bình Khánh) - Trường THPT Bình Khánh,Hợp tác xã Tân Tiến,Học sinh - Có trợ giá,2.60 km,29 chỗ,06:15 - 16:39,- Vé lượt trợ giá HSSV: 0 VNĐ,61 chuyến/ngày,5 - 125 phút,1 phút
MRT1,Bến Thành - Suối Tiên,Công ty TNHH MTV Đường sắt đô thị số 1,Phổ thông - Có trợ giá,18.82 km,930 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 20,000 VNĐ",243 chuyến/ngày,29 phút,6 - 12 phút
SWB1,Bạch Đằng - Linh Đông,"Cty TNHH Thường Nhật, ĐT: 1900636830",Không trợ giá - Du lịch,10.80 km,75 chỗ,07:10 - 18:20,"- Vé lượt không trợ giá: 15,000 VNĐ",12 chuyến/ngày,42 - 52 phút,55 phút
