csv_code,routeName,operator,transportType,totalDistance,vehicleType,operatingTime,baseFare,numTrips,tripTime,frequency
55,Công viên phần mềm Quang Trung - Bến xe buýt Văn Thánh,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,16.80 km,60 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé tập: 135,000 VNĐ",216 chuyến/ngày,45 phút,6 - 15 phút
56,Bến xe buýt Chợ Lớn - Bến xe Miền Đông mới,"Hợp tác xã vận tải xe buýt Quyết Thắng, ĐT: (028)38.642.712",Phổ thông - Có trợ giá,29.35 km,55 chỗ,05:00 - 21:00,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 157,500 VNĐ",190 chuyến/ngày,80 phút,9 - 13 phút
57,Chợ Phước Bình - Trường Trung học Phổ thông Hiệp Bình,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,13.10 km,55 chỗ,05:00 - 18:30,"- Vé lượt trợ giá: 5,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 112,500 VNĐ",130 chuyến/ngày,42 phút,10 - 20 phút
58,Bến xe Ngã tư Ga - Khu công nghiệp Đông Nam,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,20.80 km,30 chỗ,04:45 - 21:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",140 chuyến/ngày,60 phút,10 - 20 phút
59,Bến xe buýt Quận 8 - Bến xe Ngã tư Ga,"Công ty Cổ phần vận tải Thành phố, ĐT: (028)39225033",Phổ thông - Có trợ giá,23.70 km,47 - 51 chỗ,04:50 - 19:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",152 chuyến/ngày,87 phút,16 phút
60,Ben Xe An Suong Kcn Le Minh Xuan,Hợp tác xã vận tải 19/5,Phổ thông - Có trợ giá,"18,5",21 - 55 chỗ,05:00 - 19:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",120 chuyến/ngày,50 phút,12 - 15 phút
61,Bến xe buýt Chợ Lớn - Khu công nghiệp Lê Minh Xuân,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,17.73 km,55 chỗ,04:45 - 19:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",130 chuyến/ngày,50 phút,12 - 15 phút
62,Bến xe buýt Quận 8 - Thới An,"Công ty Cổ phần Xe khách Sài Gòn, ĐT: (028)39505505",Phổ thông - Có trợ giá,24.00 km,47 chỗ,05:00 - 19:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",120 chuyến/ngày,75 - 85 phút,12 - 18 phút
64,Bến xe Miền Đông - Đầm Sen,"Công ty Cổ phần Xe khách Sài Gòn, ĐT: (028)39505505",Phổ thông - Có trợ giá,18.00 km,47 chỗ,05:30 - 19:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",120 chuyến/ngày,55 - 65 phút,10 - 15 phút
65,Bến Thành - Cách Mạng Tháng Tám - Bến xe An Sương,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến, ĐT: 028.3776.3777",Phổ thông - Có trợ giá,16.30 km,50 chỗ,04:45 - 20:45,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",180 chuyến/ngày,50 - 70 phút,10 - 12 phút
