RouteKey,VariantNumber,AddressNo,Code,Lat,Lng,Name,Routes,Search,Status,StopID,StopType,Street,hasRamp,isWheelChair
133_1,266,Trung tâm kho vận Linh Xuân,QTD 184,10.870.254,106.774.932,Trung tâm kho vận Linh Xuân,"19, 33, 50, 93",TtkvLX TtkvLX Ql1,Đang khai thác,2002142,Nhà chờ,Quốc lộ 1,No,No
133_1,266,Cột điện NG/1,QTD 185,10.870.912,106.772.878,Nghĩa trang Thành phố,"19, 33, 50, 93",NtTp CdN Ql1,Đang khai thác,2002147,Trụ dừng,Quốc lộ 1,No,No
133_1,266,Đối diện công ty Nissan,QTD 186,10.871.571,106.770.823,Công ty Nissan,"19, 33, 50, 53, 93",CtN DdctN Ql1,Đang khai thác,2002143,Nhà chờ,Quốc lộ 1,No,No
133_1,266,1123,QTD 137,10.871.423,10.676.371,Trạm cầu vượt Linh Xuân,"50, 61-1, 93",TcvLX 1123 KVC,Đang khai thác,2003385,Ô sơn,Kha Vạn Cân,No,No
133_1,266,7/16,QTD 136,10.867.778,106.762.476,Nhà hàng tiệc cưới Phố Đôi,"50, 61-1, 93",NhtcPD 7/16 KVC,Tạm ngưng khai thác,2003384,Trụ dừng,Kha Vạn Cân,No,No
133_1,266,1250,QTD 135,10.864.264,106.761.199,UBND phường Linh Tây,"61-1, 93",UpLT 1250 KVC,Đang khai thác,2003387,Trụ dừng,Kha Vạn Cân,No,No
133_1,266,1176,QTD 134,10.860.581,106.760.663,Ngã ba Hoàng Diệu II,"61-1, 93",NbHDI 1176 KVC,Đang khai thác,2003386,Trụ dừng,Kha Vạn Cân,No,No
133_1,266,1106,QTD 133,10.858.411,106.758.603,Phòng khám đa khoa Á Châu,"61-1, 93",PkdkAC 1106 KVC,Đang khai thác,2003388,Trụ dừng,Kha Vạn Cân,No,No
133_1,266,1042,QTD 132,10.855.956,106.756.103,Ngã ba Chương Dương,"61-1, 93",NbCD 1042 KVC,Đang khai thác,2003389,Ô sơn,Kha Vạn Cân,No,No
133_1,266,150,QTD 131,10.851.615,106.754.757,Trường TH Nguyễn Trung Trực,"61-1, 93",TTNTT 150 KVC,Đang khai thác,2003391,Nhà chờ,Kha Vạn Cân,No,No
133_1,266,20-21,QTD 145,10.850.327,106.754.005,Chợ Thủ Đức,"08, 57, 93",CTD 20-21 LVN,Đang khai thác,2003277,Ô sơn,Lê Văn Ninh,No,No
133_1,266,581,QTD 146,10.847.199,106.751.587,Trạm Cầu ngang,"08, 57, 93",TCn 581 KVC,Đang khai thác,200575,Biển treo,Kha Vạn Cân,No,No
133_1,266,517,QTD 147,10.845.116,106.749.763,Công an Phường Linh Đông,"08, 57, 93",CaPLD 517 KVC,Đang khai thác,200578,Biển treo,Kha Vạn Cân,No,No
133_1,266,Đối diện 624,QTD 148,10.841.721,10.674.659,Trạm xăng 27-7,"08, 57, 93",Tx27-7 Dd624 KVC,Đang khai thác,200577,Biển treo,Kha Vạn Cân,No,No
133_1,266,403,QTD 149,10.840.851,106.744.548,Trường Cao đẳng Vinatex,"08, 57, 93",TCdV 403 KVC,Đang khai thác,200579,Biển treo,Kha Vạn Cân,No,No
133_1,266,78/3,QBTH 038,10.816.661,106.711.257,Cổng vào-Bến xe Miền Đông,"05, 08, 14, 146, 19, 42, 43, 45, 54, 60-4, 61-6, 91, 93, 95",CvxMD 78/3 DBL,Đang khai thác,200361,Nhà chờ,Đinh Bộ Lĩnh,No,No
133_1,266,291-293,QBTH 039,10.812.625,106.709.223,Ngã Tư Nguyễn Xí,"05, 08, 146, 24, 42, 43, 51, 54, 60-3, 60-4, 61-6, 93, 95",NTNX 291-293 DBL,Đang khai thác,200362,Ô sơn,Đinh Bộ Lĩnh,No,No
